iteration,particle,fitness,ok,failure_reason,peak_vram_mb,n_levels,n_features_per_level,log2_hashmap_size,base_resolution,per_level_scale,n_neurons,n_hidden_layers,learning_rate,l2_reg
4,3,12.883963,True,,2804.875,17,4,18,20,1.9313705439140305,64,2,0.0009340600531894714,2.2768641244815167e-06
4,4,12.918725,True,,2652.875,16,4,18,18,1.853997249779283,64,2,0.0003445418576724032,1.9489920033970473e-06
4,5,12.96358,True,,2642.875,16,4,18,17,1.855339570572248,64,2,0.00032755432612975414,1.149832411889912e-06
4,6,12.900391,True,,3460.875,16,8,18,16,1.8582846171210317,64,2,0.0004760944232802429,2.0955265038727e-06
4,7,12.959324,True,,2640.875,16,4,18,16,1.834553354285188,64,1,0.0005282914124132793,2.3684649037519443e-06
5,0,12.95394,True,,2652.875,16,4,18,19,1.7971878257759482,64,2,0.0017620785078864103,2.316234245929996e-06
5,1,12.905435,True,,3098.875,17,4,19,15,1.8069109198581847,64,2,0.0004223935720469182,3.099625503876504e-06
5,2,12.94836,True,,2620.875,15,4,18,18,1.7829614780454888,64,2,0.002271299422236857,5.86620616290895e-06
5,3,12.968779,True,,2790.875,17,4,18,15,1.8693009940815744,64,1,0.00033228003692548037,3.60858645104969e-07
5,4,12.984211,True,,2610.875,15,4,18,14,1.7918730812639745,64,2,0.0008468464072666805,3.674297674675877e-06
5,5,12.876778,True,,2802.875,17,4,18,19,1.8651793214066412,64,2,0.0006850953848940232,1.698798616038559e-06
5,6,12.968602,True,,2652.875,16,4,18,19,1.829460510382463,64,2,0.001641439962262861,8.99786405585993e-07
5,7,13.023861,True,,2642.875,16,4,18,16,1.8508102889573896,64,2,0.0012848684147838921,2.977015777146854e-06
6,0,12.889408,True,,3234.875,14,8,18,17,1.649187825775948,64,2,0.0021729436757964822,2.6768731279514503e-06
6,1,12.937002,True,,3622.875,17,8,18,15,1.8115606503868316,64,2,0.0012145924284929673,1.8548320756966433e-06
6,2,12.998513,True,,2498.875,16,4,17,17,1.8975790859890034,64,2,0.0016328593483666983,2.564386386130493e-06
6,3,12.933161,True,,3396.875,15,8,18,14,1.7903998742593874,64,2,0.000683830740316135,1.6756434994191313e-07
6,4,12.985674,True,,2486.875,15,4,17,15,1.8095344852639763,64,2,0.001397593359149285,2.987315150923059e-06
6,5,12.92156,True,,2652.875,16,4,18,18,1.8475276929184226,64,2,0.00039299367896541217,1.6251443245071165e-06
6,6,12.932528,True,,2652.875,16,4,18,20,1.821208792825923,64,2,0.0024628460057912844,1.207632063125319e-06
6,7,12.991277,True,,2498.875,16,4,17,16,1.8593451796602953,64,2,0.0020488059741606075,3.3567661118083123e-06
7,0,12.912294,True,,3718.875,14,8,19,17,1.705889101229669,64,2,0.0011318975551904346,1.12419716026815e-06
7,1,12.978343,True,,3142.875,15,8,17,14,1.8517168787370168,64,2,0.0016786281824672437,3.306712814668372e-06
7,2,12.991306,True,,2498.875,16,4,17,16,1.8855146416595296,64,2,0.001306741439206251,1.9071398974721767e-06
7,3,12.971421,True,,3450.875,16,8,18,15,1.7920661807115785,64,2,0.0014148453411490104,8.588740847545773e-08
7,4,13.031319,True,,2652.875,16,4,18,18,1.8776146915107215,64,2,0.000794539445848102,2.0787484011071084e-06
7,5,12.970485,True,,2620.875,15,4,18,17,1.8663802640535763,64,2,0.0003541625576259963,1.4133433973335506e-06
7,6,13.028471,True,,2642.875,16,4,18,17,1.8380157892487206,64,2,0.0007106295401638086,1.4847911941358573e-06
7,7,12.935179,True,,2652.875,16,4,18,18,1.872586230824223,64,2,0.0017632708234274343,3.219731644763497e-06
8,0,12.773699,True,,2652.875,16,4,18,19,1.7968127027433534,32,2,0.0005605531588875901,1.5630772781354684e-06
8,1,12.974556,True,,2486.875,15,4,17,19,1.8886884686970988,64,2,0.00122455500078704,2.563450759359353e-06
8,2,12.984347,True,,2498.875,16,4,17,17,1.878473585433178,64,2,0.0014518724768830106,2.673404848231218e-06
8,3,12.965485,True,,2656.125,16,4,18,20,1.8996991758199981,64,2,0.00040823944810978736,5.419129117596054e-07
8,4,13.015212,True,,2652.875,16,4,18,19,1.9048467740094193,64,2,0.0006338833099972435,1.7980852681982139e-06
8,5,13.011703,True,,2630.875,15,4,18,18,1.8844798187695058,64,2,0.0006579880397834069,2.2183423170928082e-06
8,6,13.001921,True,,2652.875,16,4,18,17,1.8909448074396251,64,2,0.0004897042122701331,2.5854349691860258e-06
8,7,13.011608,True,,2642.875,16,4,18,17,1.8659837694856365,64,2,0.0005471942878942521,1.9664105552763536e-06
